BREAK DATE,BREAK YEAR,X COORD,Y COORD
2/23/1990,1990,301690.456,4836161.753
2/23/1990,1990,300453.709,4847103.222
2/23/1990,1990,316866.054,4841769.351
2/24/1990,1990,316010.979,4848865.444
2/24/1990,1990,307633.687,4846927.397
2/24/1990,1990,303291.504,4833748.319
2/24/1990,1990,313064.098,4833827.647
2/25/1990,1990,305493.767,4843008.152
2/25/1990,1990,304334.069,4844564.673
2/25/1990,1990,304076.423,4833162.320
2/25/1990,1990,320447.099,4841252.684
2/25/1990,1990,320345.094,4839902.220
2/25/1990,1990,324759.323,4843499.604
2/25/1990,1990,302052.551,4841560.043
2/25/1990,1990,315627.907,4844684.651
2/25/1990,1990,301370.966,4829744.734
2/26/1990,1990,301789.264,4835372.620
2/26/1990,1990,302872.722,4838121.731
2/26/1990,1990,309635.679,4847290.787
2/26/1990,1990,305319.507,4843567.702
2/26/1990,1990,309130.019,4840308.191
2/26/1990,1990,299215.226,4833216.251
2/26/1990,1990,310529.228,4848722.604
2/26/1990,1990,309097.263,4845403.597
2/26/1990,1990,309573.441,4846058.224
2/26/1990,1990,307578.672,4838883.724
2/27/1990,1990,298659.769,4838409.965
2/27/1990,1990,301660.332,4843826.783
2/27/1990,1990,328893.970,4844237.087
2/27/1990,1990,308831.339,4844082.748
2/27/1990,1990,304049.202,4833346.108
2/27/1990,1990,300218.835,4835792.553
2/27/1990,1990,313541.958,4847596.812
2/27/1990,1990,300727.534,4837619.651
2/28/1990,1990,301854.905,4830149.112
2/28/1990,1990,323790.439,4842901.105
2/28/1990,1990,299461.347,4832194.809
2/28/1990,1990,302818.885,4835482.672
2/28/1990,1990,303811.030,4832062.321
2/28/1990,1990,301813.240,4843728.280
2/28/1990,1990,300016.651,4843171.573
2/28/1990,1990,305653.036,4832514.986
2/28/1990,1990,322984.963,4843875.965
2/28/1990,1990,298412.921,4834608.305
2/28/1990,1990,306618.808,4841716.881
2/28/1990,1990,312501.931,4834571.580
3/1/1990,1990,319095.232,4844727.899
3/1/1990,1990,302903.956,4840696.127
3/1/1990,1990,327218.343,4846185.437
3/1/1990,1990,320625.855,4840835.555
3/1/1990,1990,302453.434,4835386.981
3/1/1990,1990,328118.829,4846664.573
3/2/1990,1990,326626.205,4844090.925
3/2/1990,1990,313149.800,4845428.829
3/2/1990,1990,323008.193,4840904.855
3/2/1990,1990,302067.133,4835184.286
3/2/1990,1990,301057.584,4829375.167
3/2/1990,1990,325614.836,4847891.807
3/2/1990,1990,308920.812,4846906.145
3/2/1990,1990,322307.606,4846631.360
3/2/1990,1990,324946.699,4843060.666
3/2/1990,1990,299531.968,4843152.094
3/2/1990,1990,316417.633,4847550.508
3/2/1990,1990,302966.469,4841143.945
3/2/1990,1990,303872.367,4840744.243
3/3/1990,1990,310960.224,4833798.851
3/3/1990,1990,301491.627,4839133.055
3/3/1990,1990,304279.930,4833083.032
3/3/1990,1990,324386.663,4843267.240
3/3/1990,1990,326627.302,4843877.173
3/3/1990,1990,310584.269,4839379.020
3/4/1990,1990,301372.170,4829745.106
3/4/1990,1990,318014.192,4836450.914
3/4/1990,1990,316325.564,4850975.430
3/4/1990,1990,318170.828,4849183.985
3/4/1990,1990,323941.612,4844599.178
3/4/1990,1990,316684.463,4851939.772
3/4/1990,1990,297520.488,4842545.401
3/4/1990,1990,315672.506,4851725.306
3/4/1990,1990,328922.572,4845761.495
3/4/1990,1990,305578.902,4836470.364
3/5/1990,1990,305792.826,4843981.516
3/5/1990,1990,317196.362,4851736.598
3/5/1990,1990,328762.735,4844545.562
3/5/1990,1990,317005.037,4848608.586
3/5/1990,1990,306831.889,4846666.745
3/5/1990,1990,316938.939,4851825.073
3/5/1990,1990,315432.516,4851031.664
3/6/1990,1990,327077.704,4847615.856
3/6/1990,1990,317909.905,4850038.046
3/6/1990,1990,323963.168,4841450.318
3/6/1990,1990,326631.254,4848164.638
3/6/1990,1990,330006.332,4847693.936
3/6/1990,1990,310793.710,4843750.759
3/6/1990,1990,312804.577,4844144.514
3/6/1990,1990,310112.822,4844256.536
3/7/1990,1990,310477.413,4842118.342
3/7/1990,1990,320245.236,4840363.992
3/7/1990,1990,314180.793,4845628.211
3/7/1990,1990,318163.339,4847188.366
3/7/1990,1990,316880.742,4851839.969
3/7/1990,1990,302268.194,4828186.883
3/7/1990,1990,316642.815,4851750.897
3/7/1990,1990,312655.044,4848494.399
3/7/1990,1990,327843.268,4846348.377
3/7/1990,1990,316962.255,4851873.179
3/7/1990,1990,314882.340,4834055.612
3/8/1990,1990,313054.916,4848615.540
3/8/1990,1990,324014.969,4841262.955
3/8/1990,1990,331621.338,4847329.425
3/8/1990,1990,327854.072,4844318.557
3/8/1990,1990,323993.587,4847395.434
3/8/1990,1990,301248.791,4844947.490
3/8/1990,1990,308607.208,4839852.802
3/9/1990,1990,311472.549,4844885.816
3/9/1990,1990,297127.461,4843234.189
3/9/1990,1990,318607.910,4849366.958
